ACL v0.4 @ 0.01.cm,UE 4.15 @ 0.1cm,UE 4.15 @ 0.01cm
8.75797,8.706714,4.826641
8.823635,9.16411,4.826641
9.898067,9.206913,4.885254
10.489291,9.29373,4.890102
8.903713,8.566538,4.809032
9.412318,8.757655,4.842767
9.98006,9.170866,4.842767
10.332903,9.268518,4.846284
10.760549,9.268518,4.878168
10.760549,9.268518,4.899657
11.317128,9.430052,4.923758
11.317128,9.430052,4.923758
11.525619,9.438944,4.931035
11.525619,9.438944,4.931035
11.605797,9.79452,5.360107
12.222222,9.876665,5.384615
13.346666,9.945355,5.536504
9.663894,8.792388,4.775194
9.925781,8.904074,4.786438
9.925781,9.107527,4.796602
10.355578,9.156756,4.796602
10.360856,9.202354,4.811361
10.557258,9.202354,4.925612
11.514019,9.863173,5.342444
9.498734,8.807511,5.152559
9.902111,8.890995,4.786824
9.990801,8.890995,4.786824
10.14054,8.898664,4.808015
10.14054,9.126935,4.827135
10.416961,9.16341,4.945123
10.626159,9.18789,4.945123
10.626159,9.18789,5.047945
8.367558,8.825958,4.808081
9.043178,8.840861,4.840305
9.542772,8.889644,4.851517
9.542772,8.897196,4.884328
9.921364,8.897196,4.884328
9.921364,9.283688,4.910668
10.214094,9.283688,4.910668
11.390347,9.468354,4.925682
8.74928,8.470307,6.44586
8.896704,8.576271,4.804883
9.525773,9.144578,4.819047
9.6,9.211964,4.837697
9.632634,9.219956,4.837697
9.848007,9.248042,4.852055
10.043478,9.260131,4.873194
10.368093,9.300656,4.881029
12.003388,12.399067,4.896774
9.293103,8.448276,5.173986
9.477964,8.931234,4.807135
9.555678,9.178373,4.822187
10.351699,9.273118,4.886672
10.351699,9.273118,4.924623
10.400386,9.349523,4.924623
10.793492,9.464442,4.995366
11.91654,9.921767,5.403509
9.023314,8.743703,4.817801
9.066335,8.743703,4.828439
9.182448,9.192098,4.831639
9.568147,9.195963,4.831639
9.615478,9.238699,4.831639
9.621823,9.27003,4.870378
10.560425,9.273961,4.908642
10.560425,9.321398,4.930778
13.93754,9.771224,5.332358
8.813991,9.103448,4.845095
9.122172,9.255425,4.848273
9.503322,9.267029,4.852516
9.830876,9.309824,4.862092
10.134126,9.317647,4.875989
10.151522,9.353016,4.879208
10.151522,9.356962,4.879208
10.779439,9.384681,4.893204
10.808334,9.384681,4.90728
10.832092,9.440613,4.947791
10.832092,9.869159,5.328207
9.547346,8.925764,4.841516
9.875481,8.925764,4.869829
10.176058,8.982821,4.885702
10.223485,8.982821,4.893145
10.223485,9.000801,4.893145
10.25964,9.000801,4.914536
10.394822,9.226098,4.914536
10.394822,9.241266,4.964451
10.522523,9.325591,4.964451
10.522523,9.403597,4.995334
11.764029,9.498944,4.995334
11.764029,9.543294,5.007572
12.142028,9.543294,5.195009
12.299781,9.926711,5.319139
8.939792,8.889235,5.200091
9.254695,8.917058,4.833934
9.585532,8.969697,4.844208
9.611808,9.069638,4.851426
