ACL v0.4 @ 0.01cm,UE 4.15 @ 0.1cm,UE 4.15 @ 0.01cm
9.756883,8.660147,4.841516
9.756883,8.660147,4.841565
9.756883,8.661697,4.842767
9.757002,8.661797,4.842767
9.76827,8.661797,4.842809
9.772607,8.663107,4.843359
9.784968,8.66963,4.844208
9.785002,8.66963,4.845095
9.788618,8.672207,4.845444
9.792407,8.674117,4.845444
9.800568,8.674117,4.84561
9.801453,8.675214,4.845675
9.801453,8.678448,4.846284
9.801453,8.680309,4.847057
9.824561,8.681373,4.847183
9.825036,8.683544,4.847402
9.825915,8.688543,4.84761
9.825915,8.689655,4.848053
9.827274,8.694294,4.848273
9.827274,8.696996,4.849389
9.830876,8.697445,4.849442
9.833524,8.697445,4.849442
9.836558,8.697675,4.851107
9.836712,8.698148,4.851262
9.836712,8.699415,4.851299
9.840157,8.702177,4.851426
9.841927,8.703682,4.851517
9.844515,8.703918,4.851769
9.848007,8.703918,4.851936
9.850916,8.704617,4.852055
9.862467,8.706714,4.852405
9.867014,8.706714,4.852431
9.875481,8.710866,4.852516
9.883431,8.711679,4.854099
9.885786,8.711844,4.854166
9.890738,8.713408,4.854166
9.892934,8.713408,4.854862
9.896718,8.715232,4.856484
9.898067,8.715232,4.856555
9.902111,8.715698,4.856595
9.90272,8.716981,4.856721
9.904968,8.717856,4.858448
9.910619,8.718964,4.858576
9.912087,8.720995,4.85884
9.914163,8.720995,4.859066
9.919485,8.721095,4.859101
9.921364,8.723783,4.859101
9.921364,8.725739,4.859317
9.925156,8.725823,4.859597
9.925682,8.730483,4.860588
9.925781,8.730483,4.860657
9.925781,8.731396,4.860657
9.940091,8.732962,4.862092
9.940145,8.734895,4.86221
9.943639,8.734895,4.862484
9.954862,8.737589,4.862724
9.957637,8.73767,4.863753
9.96119,8.738853,4.86408
9.96119,8.740284,4.864877
9.96119,8.740284,4.865206
9.964603,8.743667,4.865331
9.964885,8.743703,4.866199
9.964885,8.743703,4.86634
9.970786,8.744306,4.866378
9.98006,8.745168,4.866378
9.990732,8.748796,4.8664
9.990801,8.75,4.866589
9.992947,8.752277,4.866589
9.999584,8.752277,4.866606
9.999584,8.752541,4.866797
10.000877,8.757613,4.868603
10.004963,8.757655,4.868603
10.019476,8.760303,4.868803
10.022371,8.760756,4.869049
10.024931,8.76358,4.869354
10.024931,8.764228,4.869694
10.02543,8.76494,4.869829
